,ticket_id,day_of_week_num,company_size_cat,industry_cat,customer_tier_cat,past_30d_tickets,past_90d_incidents,product_area_cat,customers_affected,error_rate_pct,downtime_min,payment_impact_flag,security_incident_flag,data_loss_flag,priority_cat
90,1000000090,3,1,6,1,3,1,6,6,25.89009068,0,0,0,0,1
91,1000000091,3,3,3,2,5,3,1,418,19.04889204,34,0,0,0,3
92,1000000092,1,3,3,2,11,3,4,111,8.272118851,18,0,0,0,2
93,1000000093,1,1,3,1,3,4,6,10,2.039614559,0,0,0,0,1
94,1000000094,5,1,7,1,5,1,3,10,0.720823536,0,0,0,0,1
95,1000000095,3,3,3,2,3,0,5,344,5.647782707,21,0,0,0,2
96,1000000096,4,2,3,2,2,3,5,12,3.670496472,0,0,0,0,1
97,1000000097,1,2,3,2,3,1,1,152,3.082524871,0,0,0,0,1
98,1000000098,1,1,7,1,2,4,1,16,6.892984933,0,0,0,0,1
99,1000000099,5,2,5,3,5,4,2,5,8.714041556,0,1,0,0,2
100,1000000100,5,2,2,1,1,3,1,45,6.360763846,0,0,0,0,1
101,1000000101,1,2,3,2,4,1,4,177,0.897106409,0,0,0,0,1
102,1000000102,4,3,1,3,5,2,6,359,6.581232458,0,0,0,0,2
103,1000000103,4,3,1,3,9,2,4,547,3.431140034,25,0,0,0,3
104,1000000104,5,1,2,1,2,0,2,3,0.461286895,0,0,0,0,1
105,1000000105,2,2,2,2,2,1,6,36,4.251950551,25,0,0,0,2
106,1000000106,5,3,7,3,6,2,3,1175,0.851997373,9,0,0,0,3
107,1000000107,2,1,2,2,3,1,5,19,3.795200528,0,0,0,0,1
108,1000000108,4,2,4,2,5,4,3,41,0.0,6,0,0,0,1
109,1000000109,2,3,7,3,3,2,4,868,14.6500413,65,0,0,0,3
110,1000000110,1,2,2,2,2,0,2,327,3.010760207,0,0,0,0,2
111,1000000111,1,2,3,2,3,2,2,16,4.867655451,0,0,0,0,1
112,1000000112,2,1,7,1,1,1,5,0,0.391023716,0,0,0,0,1
113,1000000113,1,3,3,2,8,2,1,1325,2.555228917,21,0,0,0,3
114,1000000114,2,2,5,3,5,1,1,290,2.195396736,0,0,0,0,2
115,1000000115,5,2,2,1,3,2,6,10,4.90083736,0,0,0,0,1
116,1000000116,1,3,7,3,10,3,6,322,6.700002184,0,0,0,0,2
117,1000000117,5,1,1,1,4,0,1,16,2.318142288,0,0,0,0,1
118,1000000118,5,1,7,2,2,0,6,2,3.899681741,0,0,0,0,1
119,1000000119,5,1,2,2,3,3,1,62,7.195287893,0,0,0,0,1
120,1000000120,3,1,3,1,0,1,5,13,3.512581096,14,0,0,0,1
121,1000000121,5,2,2,1,4,5,4,22,10.79187905,0,0,0,0,1
122,1000000122,4,1,4,1,3,4,1,41,1.597470106,58,0,0,0,2
123,1000000123,3,3,6,2,3,3,5,61,1.328055527,0,0,0,0,1
124,1000000124,2,1,1,1,5,0,6,31,5.618059485,19,0,0,0,2
125,1000000125,1,2,4,2,1,2,3,17,7.222086615,0,0,0,0,1
126,1000000126,4,1,2,1,5,2,6,3,8.435846552,0,0,0,0,1
127,1000000127,1,2,7,2,1,1,4,73,0.209891392,0,0,0,0,1
128,1000000128,4,3,6,2,7,2,3,289,11.46702724,0,0,0,0,2
129,1000000129,3,2,3,2,4,3,3,0,7.991908763,0,0,0,0,1
130,1000000130,3,1,7,1,5,2,5,13,0.438828784,0,0,0,0,1
131,1000000131,3,1,3,1,1,1,2,11,0.0,0,0,0,0,1
132,1000000132,4,1,1,1,2,1,2,36,3.395114754,23,0,0,0,2
133,1000000133,5,2,3,2,2,0,6,31,2.816377721,28,0,0,0,2
134,1000000134,4,2,2,1,2,1,1,170,4.252998636,0,0,0,0,2
135,1000000135,5,2,7,3,3,2,5,32,3.590618488,24,0,0,0,2
136,1000000136,4,3,7,3,13,4,5,285,3.024261429,21,0,0,0,3
137,1000000137,1,2,2,2,7,0,4,49,7.665482487,51,0,0,0,2
138,1000000138,3,2,7,3,5,0,5,0,5.128732976,0,0,0,0,1
139,1000000139,2,1,7,2,2,0,6,5,1.399110309,0,0,0,0,1
140,1000000140,2,1,3,2,0,3,1,28,0.462850314,0,0,0,0,1
141,1000000141,2,2,3,2,1,3,2,9,2.522001221,0,0,0,0,1
142,1000000142,4,2,4,2,2,1,3,1,8.362351539,29,0,0,0,1
143,1000000143,5,1,2,1,1,3,6,9,19.18872255,0,0,0,0,1
144,1000000144,4,3,1,3,4,3,2,1058,4.683955406,10,0,0,0,3
145,1000000145,4,2,5,3,2,1,6,42,2.582537146,0,0,0,0,1
146,1000000146,4,2,2,1,0,1,2,6,12.32813747,35,0,0,0,2
147,1000000147,2,3,1,3,9,1,6,94,13.02131352,12,0,0,0,3
148,1000000148,2,1,7,1,1,1,6,19,3.951976109,0,0,0,0,1
149,1000000149,3,3,6,2,7,1,3,749,0.886044442,0,0,0,0,2
150,1000000150,3,2,5,3,4,1,3,27,3.30807731,41,0,0,0,2
151,1000000151,2,1,1,1,2,0,6,5,5.968706501,26,0,0,0,2
152,1000000152,5,1,4,1,1,1,6,5,2.409758208,11,0,0,0,2
153,1000000153,2,1,5,1,4,2,5,1,3.220779436,5,0,0,0,1
154,1000000154,5,2,3,2,4,0,5,44,1.241431599,4,0,0,0,1
155,1000000155,3,1,3,2,1,0,3,1,5.594098056,0,0,0,0,1
156,1000000156,1,2,3,3,2,1,5,30,0.593415396,29,0,0,0,2
157,1000000157,3,2,2,1,5,3,3,32,1.995573106,0,0,0,0,1
158,1000000158,5,2,2,1,4,2,3,44,1.460734402,0,0,0,0,1
159,1000000159,1,2,2,1,5,2,2,17,0.687960774,5,0,0,0,1
160,1000000160,3,2,2,2,6,0,6,75,10.10228138,0,0,0,0,1
161,1000000161,2,1,2,2,3,0,5,11,0.430933889,4,0,0,0,1
162,1000000162,1,2,3,3,4,0,5,25,2.961772704,7,0,0,0,2
163,1000000163,1,2,7,2,2,0,3,163,5.869674139,0,0,0,0,1
164,1000000164,1,3,1,3,4,5,2,166,0.827324313,0,0,0,0,2
165,1000000165,2,2,7,2,4,0,1,531,4.264166401,37,0,0,0,3
166,1000000166,4,1,2,2,1,2,5,3,6.892648032,0,0,0,0,1
167,1000000167,4,1,6,1,3,1,6,6,13.30324979,20,0,0,0,2
168,1000000168,5,1,7,1,2,0,3,2,1.39021418,18,0,0,0,1
169,1000000169,1,2,2,1,1,1,5,12,0.614154758,0,0,0,0,1
170,1000000170,3,2,2,2,5,2,5,9,0.037518029,3,0,0,0,1
171,1000000171,7,3,7,3,3,1,5,775,1.440569001,11,0,0,0,3
172,1000000172,4,2,2,2,1,0,3,51,6.219806517,0,0,0,0,1
173,1000000173,4,1,1,1,4,0,1,29,3.168410965,0,0,0,0,1
174,1000000174,5,1,3,2,4,2,2,3,0.735298927,0,0,0,0,1
175,1000000175,4,3,3,2,7,1,4,288,4.910325323,77,0,0,0,3
176,1000000176,5,2,7,3,2,2,4,85,15.06583821,0,0,0,0,2
177,1000000177,3,1,1,1,0,2,2,2,4.472525679,15,0,0,0,1
178,1000000178,4,2,3,3,3,7,6,117,7.341254295,0,0,0,0,2
179,1000000179,5,1,3,2,4,3,5,17,1.453568637,31,0,0,0,1
180,1000000180,5,2,5,3,1,1,1,34,10.98609471,0,0,0,0,2
181,1000000181,5,3,3,2,10,3,2,1083,0.0,0,0,0,0,2
182,1000000182,2,1,6,1,1,1,1,3,1.804123259,28,0,0,0,1
183,1000000183,4,1,7,1,2,3,3,6,4.707267079,0,0,0,0,1
184,1000000184,5,1,3,1,1,1,1,51,1.623702343,33,0,0,0,2
185,1000000185,5,1,4,1,4,1,5,0,3.739953559,3,0,0,0,1
186,1000000186,1,1,7,1,1,2,5,4,0.147069526,0,0,0,0,1
187,1000000187,3,1,5,1,5,1,5,5,0.404304624,2,0,0,0,1
188,1000000188,2,3,3,2,8,1,5,57,1.635767797,22,0,0,0,2
189,1000000189,3,2,7,3,0,2,6,79,11.16580793,0,0,0,0,2
190,1000000190,1,1,2,1,5,1,2,9,0.0,6,0,0,0,1
191,1000000191,3,3,6,2,8,0,4,152,7.657006821,0,0,0,0,2
192,1000000192,4,3,1,3,6,2,2,1031,1.546302313,0,0,0,0,2
193,1000000193,5,1,7,1,1,2,6,3,1.755610906,36,0,0,0,1
194,1000000194,1,3,1,3,10,0,2,35,10.60769292,0,0,0,0,2
195,1000000195,1,3,6,2,5,1,5,73,5.238833139,0,0,0,0,1
196,1000000196,2,1,4,1,2,3,5,10,0.974984491,0,0,0,0,1
197,1000000197,4,2,7,3,2,0,6,97,18.49595915,11,0,0,0,3
198,1000000198,1,2,3,3,4,3,1,118,8.511443247,54,0,0,0,3
199,1000000199,2,1,2,2,4,0,2,64,0.0,15,0,0,0,2
200,1000000200,2,3,1,3,7,4,5,272,2.287025189,4,0,0,0,2
201,1000000201,3,2,5,3,2,2,6,108,1.672273258,11,0,0,0,2
202,1000000202,5,1,3,2,3,0,1,46,6.041455365,0,0,0,0,1
203,1000000203,2,3,3,2,1,1,4,178,12.10126341,82,0,0,0,3
204,1000000204,1,1,3,2,1,0,2,6,0.91082117,0,0,0,0,1
205,1000000205,2,2,3,3,6,0,4,141,14.70210898,0,0,0,0,2
206,1000000206,4,3,1,3,7,5,2,769,0.819346696,29,0,0,0,3
207,1000000207,5,1,7,2,2,3,3,4,1.085881594,0,0,0,0,1
208,1000000208,5,1,3,2,1,0,2,64,2.856869195,0,0,0,0,1
209,1000000209,1,3,1,3,6,5,1,418,2.944194794,0,0,0,0,2
210,1000000210,2,2,3,3,5,1,4,29,11.13918645,0,0,0,0,2
211,1000000211,3,2,3,3,5,2,3,52,3.879504985,0,0,0,0,1
212,1000000212,1,2,7,2,4,3,4,34,0.900130722,0,0,0,0,1
213,1000000213,1,2,2,1,1,1,3,8,1.017610456,0,0,0,0,1
214,1000000214,2,1,2,1,1,0,3,1,3.000262079,38,0,0,0,1
215,1000000215,2,2,5,3,2,1,1,72,1.713630045,2,0,0,0,2
216,1000000216,1,1,2,1,2,2,6,3,9.108928322,15,0,0,0,1
217,1000000217,3,1,4,1,0,1,1,7,2.035936262,23,0,0,0,1
218,1000000218,2,1,4,1,5,0,6,2,3.999677368,21,0,0,0,1
219,1000000219,2,1,2,1,2,1,3,9,0.0,0,0,0,0,1
220,1000000220,3,2,3,2,5,4,5,63,3.472064664,0,0,0,0,1
221,1000000221,2,3,3,2,12,2,1,322,15.7825204,69,0,0,0,3
222,1000000222,4,1,2,1,0,3,2,12,2.166265243,0,0,0,0,1
223,1000000223,4,2,4,2,5,1,2,29,5.491109901,0,0,0,0,1
224,1000000224,5,2,2,2,5,2,2,47,3.416309235,46,0,0,0,2
225,1000000225,1,1,4,1,6,5,3,3,0.0,0,0,0,0,1
226,1000000226,2,1,5,1,1,3,6,5,1.591311059,17,0,0,0,1
227,1000000227,1,2,2,1,1,1,2,49,0.375921396,0,1,0,0,2
228,1000000228,1,1,6,1,3,1,6,3,1.823075391,0,0,0,0,1
229,1000000229,1,2,7,2,0,5,4,108,3.287373631,21,0,0,0,2
230,1000000230,1,3,1,3,6,5,2,564,7.268334518,0,0,0,0,3
231,1000000231,1,1,2,1,2,0,1,7,6.011003496,53,0,0,0,2
232,1000000232,4,1,6,1,2,5,3,14,0.0,29,0,0,0,1
233,1000000233,5,2,7,2,0,2,3,32,1.099349202,0,0,0,0,1
234,1000000234,2,3,1,3,3,4,6,63,3.763733734,0,0,0,0,2
235,1000000235,4,3,7,3,7,0,6,468,4.091884541,0,0,0,0,2
236,1000000236,5,2,7,2,3,1,3,11,1.365553764,4,0,0,0,1
237,1000000237,2,3,3,2,4,9,6,686,1.385079516,0,0,0,0,2
238,1000000238,7,3,3,2,12,5,3,169,1.029486715,0,0,0,0,1
239,1000000239,5,1,5,1,1,1,5,9,1.463179211,0,0,0,0,1
240,1000000240,1,1,4,1,4,1,3,0,0.560048756,0,0,0,0,1
241,1000000241,1,1,7,2,1,2,5,4,0.204968609,20,0,0,0,1
242,1000000242,3,2,7,2,5,0,3,75,1.306510589,8,0,0,0,2
243,1000000243,5,3,3,2,9,3,5,117,3.610201255,9,0,0,0,2
244,1000000244,2,2,4,2,5,2,6,42,3.594197375,0,0,0,0,1
245,1000000245,4,2,4,2,2,0,3,35,1.992997487,0,0,0,0,1
246,1000000246,7,2,3,3,5,4,5,16,1.927191703,4,0,0,0,1
247,1000000247,3,2,7,2,2,0,4,422,18.08239058,0,0,0,0,3
248,1000000248,3,2,3,2,2,2,2,41,1.517042972,0,0,0,0,1
249,1000000249,3,1,3,2,3,2,5,3,0.654860159,0,0,0,0,1
250,1000000250,1,1,1,1,0,2,3,10,3.58709624,5,0,0,0,1
251,1000000251,1,1,7,2,1,0,4,16,10.60598553,0,0,0,0,1
252,1000000252,4,3,1,3,4,4,2,257,2.523442747,39,0,0,0,3
253,1000000253,3,1,5,1,1,2,6,0,10.46250022,14,0,0,0,1
254,1000000254,2,1,4,1,4,0,1,11,5.768628582,11,0,0,0,2
255,1000000255,1,3,6,2,5,5,3,267,2.487806385,0,0,0,0,1
256,1000000256,5,3,3,2,6,2,1,375,1.519816514,5,0,0,0,2
257,1000000257,5,2,4,2,1,1,6,28,0.939385216,36,0,0,0,2
258,1000000258,1,2,4,2,3,5,6,19,5.038450512,0,0,0,0,1
259,1000000259,5,1,3,2,1,1,6,3,3.693980125,0,0,0,0,1
260,1000000260,4,1,6,1,1,1,6,4,9.885010172,0,0,0,0,1
261,1000000261,2,1,7,2,3,2,3,3,2.714156298,53,0,0,0,1
262,1000000262,5,1,7,1,0,1,3,2,7.980204653,0,0,0,0,1
263,1000000263,2,1,3,2,4,1,2,11,2.564629974,34,0,0,0,2
264,1000000264,2,1,4,1,4,3,3,3,9.499294648,0,0,0,0,1
265,1000000265,1,3,3,2,5,3,1,622,0.916212765,26,0,0,0,3
266,1000000266,1,2,3,2,1,3,5,7,1.628680755,2,0,0,0,1
267,1000000267,2,2,2,1,3,2,1,60,3.854533679,0,0,0,0,1
268,1000000268,1,1,2,2,2,2,5,27,0.133709759,2,1,0,0,1
269,1000000269,1,1,5,1,2,0,1,34,12.37935239,0,0,0,0,2
270,1000000270,5,2,3,2,2,0,5,9,1.677825106,0,0,0,0,1
271,1000000271,2,1,6,1,4,2,3,8,2.993375125,14,0,0,0,2
272,1000000272,3,3,7,3,12,5,5,1497,0.457660318,9,0,0,0,3
273,1000000273,3,3,7,3,9,7,2,150,1.622298943,30,0,0,0,3
274,1000000274,4,1,7,2,4,1,4,19,7.521928012,8,0,0,0,2
275,1000000275,3,1,4,1,2,4,1,7,6.36012244,0,0,0,0,1
276,1000000276,1,1,7,1,4,1,6,12,8.749972911,37,0,0,0,2
277,1000000277,5,1,1,1,7,2,3,1,0.560556876,0,0,0,0,1
278,1000000278,3,1,2,2,2,2,3,71,0.477622438,0,0,0,0,1
279,1000000279,1,2,3,2,2,0,4,221,6.055236708,28,0,0,0,3
280,1000000280,5,3,7,3,11,1,1,580,3.580333689,0,0,0,0,2
281,1000000281,4,1,7,2,0,0,5,10,1.152541221,6,0,0,0,1
282,1000000282,5,2,2,1,1,4,1,227,5.339136273,21,0,0,0,3
283,1000000283,1,3,3,2,4,1,1,4130,2.064718072,0,0,0,0,3
284,1000000284,5,2,7,3,2,5,4,92,4.24087722,0,0,0,0,2
285,1000000285,3,2,2,2,2,0,1,27,10.39261284,32,0,0,0,2
286,1000000286,1,2,7,3,3,1,6,63,16.37145786,26,0,0,0,3
287,1000000287,5,2,4,2,4,6,5,10,3.014526119,27,0,0,0,2
288,1000000288,1,2,7,3,2,1,5,30,1.677847662,0,0,0,0,1
289,1000000289,2,3,6,2,7,2,5,187,0.320615106,20,0,0,0,2
290,1000000290,3,1,7,2,3,2,3,5,5.77383666,11,0,0,0,2
291,1000000291,2,2,2,2,1,1,6,26,3.426614693,2,0,0,0,1
292,1000000292,1,3,6,2,9,4,4,482,5.914303682,23,0,0,0,3
293,1000000293,6,3,3,2,4,2,5,23,1.109407876,0,0,0,0,1
294,1000000294,4,2,3,3,2,2,5,33,3.817111133,0,0,0,0,1
295,1000000295,1,3,7,3,6,1,5,153,4.300206757,7,0,0,0,2
296,1000000296,4,1,1,1,3,2,3,13,1.056917918,0,0,0,0,1
297,1000000297,2,1,4,1,4,2,2,5,0.609436314,0,0,0,0,1
298,1000000298,2,2,7,3,5,1,6,58,5.749768536,12,0,0,0,2
299,1000000299,2,3,7,3,6,2,3,368,0.637746382,2,0,0,0,2
300,1000000300,1,2,4,2,1,1,3,32,17.78844052,5,0,0,0,2
301,1000000301,4,3,6,2,6,1,1,203,6.233679531,23,0,0,0,3
302,1000000302,4,2,7,3,2,0,2,47,2.143906927,14,1,0,0,3
303,1000000303,2,3,6,2,4,3,6,93,1.935127084,36,0,0,0,2
304,1000000304,3,1,7,2,2,1,1,39,6.139425493,4,0,0,0,2
305,1000000305,7,1,4,1,1,1,6,3,1.206291737,45,0,0,0,1
306,1000000306,2,3,1,3,8,5,2,169,4.802520168,17,0,0,0,3
307,1000000307,1,1,4,1,2,2,1,9,3.712014051,0,0,0,0,1
308,1000000308,4,1,1,1,1,1,1,6,3.705605947,33,0,0,0,2
309,1000000309,2,2,5,3,1,0,5,9,4.294983907,2,0,0,0,1
310,1000000310,5,2,3,3,1,0,6,39,6.374556954,68,0,0,0,3
311,1000000311,5,2,7,3,4,1,5,0,0.259268023,25,0,0,0,1
312,1000000312,3,2,7,3,1,2,6,171,3.781227669,49,0,0,0,3
313,1000000313,1,1,2,2,3,2,5,7,3.195090514,6,0,0,0,1
314,1000000314,4,1,7,1,1,0,1,22,0.38231237,12,0,0,0,1
315,1000000315,5,3,3,2,5,2,5,209,4.094646958,0,0,0,0,2
316,1000000316,4,3,6,2,4,2,5,182,0.64819829,11,0,0,0,2
317,1000000317,5,3,3,2,6,3,4,474,5.566649384,23,0,0,0,3
318,1000000318,4,3,6,2,7,3,5,629,2.900091164,0,0,0,0,2
319,1000000319,5,1,5,1,2,1,1,43,1.455246224,44,0,0,0,2
320,1000000320,4,2,4,2,5,1,1,18,9.958663789,9,0,0,0,2
321,1000000321,3,3,3,2,14,3,4,908,16.96338571,0,0,0,0,2
322,1000000322,2,1,5,1,5,1,1,11,11.00327057,0,0,0,0,1
323,1000000323,5,1,6,1,4,0,5,2,0.447817907,14,0,0,0,1
324,1000000324,1,2,5,3,0,2,4,99,3.749836974,0,0,0,0,2
325,1000000325,2,1,7,1,5,1,3,7,2.314335689,0,0,0,0,1
326,1000000326,3,3,1,3,8,6,3,271,5.936051583,3,0,0,0,3
327,1000000327,5,1,3,1,3,1,3,5,6.015563818,0,0,0,0,1
328,1000000328,3,1,4,1,2,2,3,3,2.927840877,22,0,0,0,1
329,1000000329,5,3,7,3,13,2,1,1847,14.69639462,0,0,0,0,3
330,1000000330,5,2,5,3,1,2,6,46,8.88887316,6,0,0,0,2
331,1000000331,4,3,7,3,7,4,5,221,2.204027996,5,0,0,0,2
332,1000000332,1,3,7,3,6,1,5,611,2.308814647,18,0,0,0,3
333,1000000333,3,2,4,2,2,2,3,57,0.78415565,2,0,0,0,1
334,1000000334,1,1,7,1,1,2,5,4,4.693392694,0,0,0,0,1
335,1000000335,4,1,3,2,0,0,1,15,2.318988107,1,0,0,0,1
336,1000000336,1,3,7,3,7,4,5,193,2.167370451,0,0,0,0,2
337,1000000337,3,3,1,3,3,1,2,669,5.388137441,0,0,0,0,3
338,1000000338,2,2,7,2,1,1,1,20,15.9327262,0,0,0,0,2
339,1000000339,5,2,3,3,1,1,2,71,5.129146846,1,0,0,0,2
340,1000000340,3,1,6,1,2,3,5,14,0.874341676,0,0,0,0,1
341,1000000341,5,2,4,2,3,2,5,7,2.351954652,2,0,0,0,1
342,1000000342,7,1,5,1,3,1,6,4,5.396955177,7,0,0,0,1
343,1000000343,5,2,3,2,3,3,4,131,1.207272137,0,0,0,0,1
344,1000000344,2,3,3,2,8,3,4,228,2.287553077,35,0,0,0,3
345,1000000345,2,1,4,1,6,3,3,7,1.17972337,0,0,0,0,1
346,1000000346,5,1,3,1,1,0,3,5,3.047133255,0,0,0,0,1
347,1000000347,1,2,3,3,2,4,5,3,6.021042152,0,0,0,0,1
348,1000000348,2,3,7,3,6,3,6,208,5.539529147,21,0,0,0,3
349,1000000349,1,1,1,1,3,1,2,7,2.628268167,0,0,0,0,1
350,1000000350,5,1,7,2,0,3,5,9,1.346030721,0,0,0,0,1
351,1000000351,4,3,1,3,5,4,2,251,1.777919758,11,0,0,0,3
352,1000000352,5,2,7,2,2,2,1,93,5.409774992,0,0,0,0,1
